time,thermofilter_temp_c
1692625443439, 100
1692625443539, 100
1692625443639, 100
1692625443739, 100
1692625443839, 100
1692625443939, 100
1692625444039, 100.25
1692625444139, 100
1692625444239, 100
1692625444339, 100
1692625444439, 99.75
1692625444539, 100
1692625444639, 100
1692625444739, 99.75
1692625444839, 100
1692625444939, 100
1692625445039, 99.75
1692625445139, 99.75
1692625445239, 100
1692625445339, 100
1692625445439, 100
1692625445539, 100
1692625445639, 100
1692625445739, 100
1692625445839, 99.75
1692625445939, 99.75
1692625446039, 99.75
1692625446139, 100
1692625446239, 100
1692625446339, 100
1692625446439, 100
1692625446539, 100
1692625446639, 100
1692625446739, 99.75
1692625446839, 100
1692625446939, 100
1692625447039, 99.75
1692625447139, 100
1692625447239, 100
1692625447339, 100
1692625447439, 100
1692625447539, 100
1692625447639, 99.75
1692625447739, 99.75
1692625447839, 100
1692625447939, 100
1692625448039, 100
1692625448139, 100
1692625448239, 100
1692625448339, 100
1692625448439, 100
1692625448539, 100
1692625448639, 100
1692625448739, 99.75
1692625448839, 100
1692625448939, 100
1692625449039, 99.75
1692625449139, 100
1692625449239, 99.75
1692625449339, 100
1692625449439, 100
1692625449539, 100
1692625449639, 99.75
1692625449739, 100
1692625449839, 100
1692625449939, 99.75
1692625450039, 99.75
1692625450139, 100
1692625450239, 100
1692625450339, 100
1692625450439, 100
1692625450539, 99.75
1692625450639, 99.75
1692625450739, 99.75
1692625450839, 99.75
1692625450939, 100
1692625451039, 100
1692625451139, 99.75
1692625451239, 100
1692625451339, 100
1692625451439, 100
1692625451539, 100
1692625451639, 99.75
1692625451739, 100
1692625451839, 100
1692625451939, 100
1692625452039, 100
1692625452139, 100
1692625452240, 99.75
1692625452340, 100
1692625452439, 100
1692625452539, 100
1692625452639, 100
1692625452739, 99.75
1692625452839, 99.75
1692625452939, 100
1692625453039, 100
1692625453139, 100
1692625453239, 100
1692625453339, 100
1692625453439, 100
1692625453539, 100
1692625453639, 100
1692625453739, 100
1692625453839, 100
1692625453939, 100
1692625454039, 100
1692625454139, 100
1692625454239, 99.75
1692625454339, 100
1692625454439, 100
1692625454539, 100.25
1692625454639, 100.25
1692625454740, 100
1692625454839, 100
1692625454939, 100
1692625455039, 100
1692625455139, 100
1692625455239, 100
1692625455339, 100
1692625455439, 100
1692625455539, 100.25
1692625455639, 100
1692625455739, 99
1692625455839, 97.75
1692625455939, 97.75
1692625456039, 98.25
1692625456139, 98
1692625456240, 98.25
1692625456339, 100
1692625456439, 100
1692625456539, 100
1692625456639, 100
1692625456739, 100.25
1692625456839, 100.25
1692625456939, 100
1692625457039, 100
1692625457139, 100.25
1692625457239, 100
1692625457339, 100
1692625457439, 100
1692625457539, 100.25
