time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal,is_heating
1687858956.012540229s,25.25,26.5,24,25.6875,24.5,25.75,true
1687858956.020935149s,25.25,26.5,24,25.75,24.5,25.75,true
1687858956.028546077s,25.25,26.5,24,25.75,24.5,25.75,true
1687858956.037046996s,25.25,26.5,24,25.75,24.5,25.75,true
1687858956.044586925s,25.25,26.5,24,25.75,24.5,25.75,true
1687858956.052344851s,25.25,26.5,22.25,25.75,23.75,25.75,true
1687858956.060191777s,25.25,26.5,22.25,25.75,23.75,25.75,true
1687858956.069189692s,25.25,26.5,22.25,25.75,23.75,25.75,true
1687858956.076342624s,25.25,26.5,22.25,25.75,23.75,25.75,true
1687858956.084979542s,25.25,26.5,22.25,25.75,23.75,25.75,true
1687858956.092335472s,25.25,26.5,22.25,25.6875,23.75,25.75,true
1687858956.100580394s,25.25,26.5,22.25,25.6875,23.75,25.75,true
1687858956.109163312s,25.25,26.5,22.25,25.6875,23.75,25.75,true
1687858956.116951239s,25.25,26.5,22.25,25.6875,23.75,25.75,true
1687858956.124624166s,25.25,26.5,24.75,25.6875,23.75,25.75,true
1687858956.133183085s,25.25,26.5,24.75,25.6875,22.5,25.75,true
1687858956.285012645s,25.5,26.5,22,25.6875,24.75,25.75,true
1687858956.293735562s,25.5,26.5,22,25.6875,24.75,25.75,true
1687858956.300384499s,25.5,26.5,22,25.6875,24.75,25.75,true
1687858956.308501422s,25.5,26.5,22,25.6875,24.75,25.75,true
1687858956.316361348s,25.5,26.5,22,25.75,24.75,25.75,true
1687858956.324896267s,25.5,26.5,22,25.75,24.75,25.75,true
1687858956.332582194s,25.5,26.5,22,25.75,24.75,25.75,true
1687858956.340603118s,25.5,26.4375,22,25.75,24.75,25.75,true
1687858956.34884204s,25.5,26.4375,24,25.75,24.75,25.75,true
1687858956.508359527s,25.25,26.5,23.5,25.75,24.75,25.8125,true
1687858956.516515449s,25.25,26.5,23.5,25.75,24.75,25.8125,true
1687858956.524627373s,25.25,26.5,23.5,25.75,24.75,25.8125,true
1687858956.533195291s,25.25,26.5,23.5,25.6875,24.75,25.8125,true
1687858956.54075922s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858956.548410147s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858956.556963066s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858956.564505994s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858956.573070913s,25.25,26.5,22.25,25.6875,23,25.75,true
1687858956.580625842s,25.25,26.5,22.25,25.6875,23,25.75,true
1687858956.588607766s,25.25,26.5,22.25,25.6875,23,25.75,true
1687858956.597302683s,25.25,26.5,22.25,25.6875,23,25.75,true
1687858956.604899611s,25.25,26.5,22.25,25.6875,23,25.75,true
1687858956.61349253s,25.25,26.5,22.25,25.6875,23,25.8125,true
1687858956.621486454s,25.25,26.5,22.25,25.6875,23,25.8125,true
1687858956.628838384s,25.25,26.5,22.25,25.6875,23,25.8125,true
1687858956.636912308s,25.25,26.5,22.25,25.6875,23,25.8125,true
1687858956.644416237s,25.25,26.5,25.5,25.6875,23,25.8125,true
1687858956.652724158s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.660326086s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.669031003s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.676484932s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.684472857s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.692838777s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.700451705s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.709055624s,25.25,26.5,25.5,25.6875,23.75,25.8125,true
1687858956.717033548s,25.25,26.5,24.75,25.6875,23.75,25.8125,true
1687858956.724764475s,25.25,26.5,24.75,25.6875,23.25,25.8125,true
1687858956.732290403s,25.25,26.5,24.75,25.6875,23.25,25.8125,true
1687858956.741388317s,25.25,26.5,24.75,25.6875,23.25,25.8125,true
1687858956.749640239s,25.25,26.5,24.75,25.6875,23.25,25.8125,true
1687858956.756251176s,25.25,26.5,24.75,25.75,23.25,25.8125,true
1687858956.764820095s,25.25,26.5,24.75,25.75,23.25,25.8125,true
1687858956.772346023s,25.25,26.5,24.75,25.75,23.25,25.8125,true
1687858956.780556946s,25.25,26.5,24.75,25.75,23.25,25.8125,true
1687858956.788749868s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858956.79698279s,25.25,26.5,21.75,25.75,21,25.8125,true
1687858956.805139712s,25.25,26.5,21.75,25.75,21,25.8125,true
1687858956.812684641s,25.25,26.5,21.75,25.75,21,25.8125,true
1687858956.820894563s,25.25,26.5,21.75,25.75,21,25.8125,true
1687858956.82859749s,25.25,26.5,21.75,25.75,21,25.8125,true
1687858956.837114409s,25.25,26.5,21.75,25.6875,21,25.8125,true
1687858956.844648338s,25.25,26.5,21.75,25.6875,21,25.8125,true
1687858956.85280626s,25.25,26.5,21.75,25.6875,21,25.8125,true
1687858956.860982183s,25.25,26.5,21.75,25.6875,21,25.8125,true
1687858956.86861311s,25.25,26.5,24,25.6875,21,25.8125,true
1687858957.028824591s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.037872505s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.044955438s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.053017362s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.06062229s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.068813212s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.076289141s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.08483306s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858957.092323989s,25.25,26.5,23,25.6875,24.75,25.75,true
1687858957.100552911s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.109196829s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.116711758s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.124236686s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.132762606s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.141238525s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.148848453s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.156359382s,25.25,26.5,23,25.6875,22.75,25.75,true
1687858957.164851301s,25.25,26.5,26,25.6875,22.75,25.75,true
1687858957.173042224s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.181064147s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.188355078s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.197484992s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.20507592s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.212613848s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.220242776s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.228838694s,25.25,26.5,26,25.6875,21.25,25.75,true
1687858957.236413623s,25.25,26.5,23.75,25.6875,21.25,25.75,true
1687858957.244941542s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.25355846s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.261623384s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.268457319s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.277013238s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.284545166s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.293010086s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.300441015s,25.25,26.5,23.75,25.6875,22.75,25.75,true
1687858957.308675937s,25.25,26.5,20.25,25.6875,22.75,25.75,true
1687858957.317217856s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.324903783s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.332806708s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.340410636s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.349058554s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.356832481s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.364378409s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.372905328s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.380298258s,25.25,26.5,20.25,25.6875,20.25,25.75,true
1687858957.388939176s,25.25,26.5,24.5,25.6875,20.25,25.75,true
1687858957.548710661s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.557446578s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.564982507s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.572522435s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.581686348s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.58886828s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.596924204s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858957.605086126s,25.25,26.5,22,25.6875,24.75,25.75,true
1687858957.612642055s,25.25,26.5,22,25.6875,24.75,25.75,true
1687858957.773031534s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.780237465s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.788930383s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.796466312s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.80502123s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.813004155s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.820638082s,25.5,26.5,24,25.6875,24.5,25.75,true
1687858957.828644006s,25.5,26.5,22,25.6875,24.5,25.75,true
1687858957.836286934s,25.5,26.5,22,25.6875,24.5,25.75,true
1687858957.844816853s,25.5,26.5,22,25.6875,23.25,25.75,true
1687858957.852344782s,25.5,26.5,22,25.6875,23.25,25.75,true
1687858957.8609647s,25.25,26.5,22,25.6875,23.25,25.75,true
1687858957.868725626s,25.25,26.5,22,25.6875,23.25,25.75,true
1687858957.876861549s,25.25,26.5,22,25.6875,23.25,25.8125,true
1687858957.884248479s,25.25,26.5,22,25.6875,23.25,25.8125,true
1687858957.892879397s,25.25,26.5,22,25.6875,23.25,25.8125,true
1687858957.901152319s,25.25,26.5625,24.75,25.6875,23.25,25.8125,true
1687858957.908773247s,25.25,26.5625,24.75,25.6875,23.25,25.8125,true
1687858958.068479732s,25.5,26.5,22,25.6875,24.75,25.8125,true
1687858958.076595655s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.086076565s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.092696502s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.101232421s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.109201346s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.116480277s,25.25,26.5,22,25.6875,24.75,25.8125,true
1687858958.124675199s,25.25,26.5,23.75,25.6875,24.75,25.8125,true
