time,boiler_temp_c,grouphead_temp_c,heat_level
1692714196166,101.5,71.75,0.0
1692714196258,101.5,71.75,0.0
1692714196350,101.5,71.75,0.0
1692714196442,101.5,71.75,0.0
1692714196534,101.25,71.75,0.0
1692714196626,101.25,71.75,0.0
1692714196717,101.25,71.75,0.0
1692714196808,101.25,71.75,0.0
1692714196900,101.25,71.75,0.0
1692714196991,101.25,71.75,0.0
1692714197083,101.25,71.75,0.0
1692714197176,101.5,71.75,0.0
1692714197268,101.25,71.75,0.0
1692714197359,101.5,71.75,0.0
1692714197450,101.25,71.75,0.0
1692714197541,101.25,71.75,0.0
1692714197632,101.25,71.75,0.0
1692714197724,101.25,71.75,0.0
1692714197815,101.25,71.75,0.0
1692714197906,101.25,71.75,0.0
1692714197999,101.25,71.75,0.0
1692714198090,101.25,71.75,0.0
1692714198181,101.25,71.75,0.0
1692714198272,101.25,71.75,0.0
1692714198363,101.25,71.75,0.0
1692714198454,101.25,71.75,0.0
1692714198547,101.25,71.75,0.0
1692714198639,101.25,71.75,0.0
1692714198731,101.25,71.75,0.0
1692714198822,101.25,71.75,0.0
1692714198913,101.25,71.75,0.0
1692714199005,101.25,71.75,0.0
1692714199097,101.25,71.75,0.0
1692714199189,101.25,71.75,0.0
1692714199281,101.25,71.75,0.0
1692714199372,101.25,71.75,0.0
1692714199464,101.25,71.75,0.0
1692714199556,101.25,71.75,0.0
1692714199647,101.25,71.75,0.0
1692714199738,101.25,71.75,0.0
1692714199830,101.25,71.75,0.0
1692714199921,101.25,71.75,0.0
1692714200013,101.25,71.75,0.0
1692714200105,101.25,71.75,0.0
1692714200197,101.25,71.75,0.0
1692714200289,101.25,71.75,0.0
1692714200380,101.25,71.75,0.0
1692714200471,101.25,71.75,0.0
1692714200562,101.25,71.75,0.0
1692714200653,101.25,71.75,0.0
1692714200744,101.25,71.75,0.0
1692714200836,101.25,71.75,0.0
1692714200927,101.25,71.75,0.0
1692714201020,101.25,71.75,0.0
1692714201112,101.25,71.75,0.0
1692714201204,101.25,71.75,0.0
1692714201295,101.25,71.75,0.0
1692714201387,101.25,71.75,0.0
1692714201478,101.25,71.75,0.0
1692714201577,101.25,71.75,0.0
1692714201668,101.25,71.75,0.0
1692714201760,101.25,71.75,0.0
1692714201851,101.25,71.75,0.0
1692714201942,101.25,71.75,0.0
1692714202036,101.25,71.75,0.0
1692714202127,101.25,71.75,0.0
1692714202218,101.25,71.75,0.0
1692714202310,101.25,71.75,0.0
1692714202401,101.25,71.75,0.0
1692714202493,101.25,71.75,0.0
1692714202585,101.25,71.75,0.0
1692714202677,101.25,71.75,0.0
1692714202768,101.25,71.75,0.0
1692714202860,101.0,71.75,0.0
1692714202952,101.0,71.75,0.0
1692714203044,101.25,71.75,0.0
1692714203135,101.25,71.75,0.0
1692714203227,101.25,71.75,0.0
1692714203319,101.25,71.75,0.0
1692714203410,101.25,71.75,0.0
1692714203502,101.25,71.75,0.0
1692714203593,101.0,71.75,0.0
1692714203685,101.0,71.75,0.0
1692714203777,101.25,71.75,0.0
1692714203869,101.25,71.75,0.0
1692714203960,101.0,71.75,0.0
1692714204052,101.25,71.75,0.0
1692714204143,101.0,71.75,0.0
1692714204235,101.0,71.75,0.0
1692714204327,101.0,71.75,0.0
1692714204419,101.0,71.75,0.0
1692714204510,101.0,71.75,0.0
1692714204602,101.25,71.75,0.0
1692714204693,101.0,71.75,0.0
1692714204790,101.0,71.75,0.0
1692714204882,101.25,71.75,0.0
1692714204974,101.0,71.75,0.0
1692714205065,101.0,71.75,0.0
1692714205157,101.0,71.75,0.0
1692714205249,101.0,71.75,0.0
1692714205341,101.0,71.75,0.0
1692714205432,101.0,72.0,0.0
1692714205523,101.0,71.75,0.0
1692714205614,101.0,71.75,0.0
1692714205706,101.0,71.75,0.0
1692714205798,101.0,71.75,0.0
1692714205890,101.25,71.75,0.0
1692714205981,101.0,71.75,0.0
1692714206072,101.0,71.75,0.0
1692714206164,101.0,71.75,0.0
1692714206256,101.0,71.75,0.0
1692714206347,101.0,71.75,0.0
1692714206438,101.0,71.75,0.0
1692714206534,101.0,72.0,0.0
1692714206626,101.0,71.75,0.0
1692714206718,101.0,71.75,0.0
1692714206809,101.0,71.75,0.0
1692714206900,101.0,71.75,0.0
1692714206992,101.0,71.75,0.0
1692714207084,101.0,71.75,0.0
1692714207175,101.0,71.75,0.0
1692714207268,101.0,71.75,0.0
1692714207359,101.0,71.75,0.0
1692714207450,101.0,71.75,0.0
1692714207542,101.0,71.75,0.0
1692714207634,101.0,71.75,0.0
1692714207725,101.0,71.75,0.0
1692714207817,101.0,71.75,0.0
1692714207909,101.0,71.75,0.0
1692714208000,101.0,71.75,0.0
1692714208092,101.0,71.75,0.0
1692714208184,101.0,71.75,0.0
1692714208275,101.0,71.75,0.0
1692714208366,101.0,71.75,0.0
1692714208457,101.0,72.0,0.0
1692714208549,101.0,71.75,0.0
1692714208641,101.0,71.75,0.0
1692714208732,101.0,71.75,0.0
1692714208824,101.0,71.75,0.0
1692714208917,101.0,71.75,0.0
1692714209008,101.0,71.75,0.0
1692714209100,101.0,71.75,0.0
1692714209191,101.0,72.0,0.0
1692714209283,101.0,72.0,0.0
1692714209375,101.0,72.0,0.0
1692714209467,101.0,71.75,0.0
1692714209558,101.0,71.75,0.0
1692714209650,101.0,71.75,0.0
1692714209741,101.0,71.75,0.0
1692714209833,101.0,71.75,0.0
1692714209925,101.0,72.0,0.0
1692714210017,101.0,72.0,0.0
1692714210109,101.0,71.75,0.0
1692714210205,101.0,71.75,0.0
1692714210296,101.0,71.75,0.0
1692714210389,101.0,72.0,0.0
1692714210481,101.0,71.75,0.0
1692714210573,101.0,72.0,0.0
1692714210664,101.0,71.75,0.0
1692714210755,101.0,71.75,0.0
1692714210846,101.0,71.75,0.0
1692714210937,101.0,71.75,0.0
1692714211028,101.0,72.0,0.0
1692714211119,101.0,72.0,0.0
1692714211211,101.0,71.75,0.0
1692714211302,101.0,72.0,0.0
1692714211393,100.75,72.0,0.0
1692714211486,101.0,71.75,0.0
1692714211584,101.0,72.0,0.0
1692714211677,101.0,71.75,0.0
1692714211769,101.0,71.75,0.0
1692714211860,101.0,72.0,0.0
1692714211953,101.0,72.0,0.0
1692714212046,101.0,71.75,0.0
1692714212137,101.0,71.75,0.0
1692714212228,100.75,71.75,0.0
