time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687731924.070828278s,53.25,31.125,34,30.3125,34.25,30.4375
1687731924.226258818s,53.25,31.0625,31,30.25,35.25,30.5
1687731924.228611796s,53.25,31.0625,31,30.25,35.25,30.5
1687731924.231393769s,53.25,31.0625,31,30.25,35.25,30.5
1687731924.238721701s,53.25,31.0625,31,30.25,35.25,30.5
1687731924.246993623s,53.25,31.0625,31,30.25,35.25,30.5
1687731924.255183546s,53.25,31.125,31,30.25,35,30.5
1687731924.262351479s,53.25,31.125,31,30.25,35,30.5
1687731924.270601401s,53.25,31.125,31,30.25,35,30.5
1687731924.279063322s,53.25,31.125,31,30.25,35,30.5
1687731924.286864248s,53.25,31.125,31,30.25,35,30.5
1687731924.294590176s,53.25,31.125,32.25,30.25,35,30.5
1687731924.448803727s,53.25,31.125,32.5,30.3125,35.25,30.5
1687731924.451166705s,53.25,31.125,32.5,30.3125,35.25,30.5
1687731924.454238676s,53.25,31.125,32.5,30.3125,35.25,30.5
1687731924.463071593s,53.25,31.125,32.5,30.3125,35.25,30.5
1687731924.470732521s,53.25,31.125,32.5,30.3125,35.25,30.5
1687731924.479042443s,53.25,31.125,32.5,30.25,35,30.5
1687731924.487295365s,53.25,31.125,32.5,30.25,35,30.5
1687731924.494581297s,53.25,31.125,32.5,30.25,35,30.5
1687731924.50275222s,53.25,31.125,32.5,30.25,35,30.5
1687731924.511087142s,53.25,31.125,30.75,30.25,35,30.5
1687731924.518382073s,53.25,31.125,30.75,30.25,35,30.4375
1687731924.526644996s,53.25,31.125,30.75,30.25,35,30.4375
1687731924.534100925s,53.25,31.125,30.75,30.25,35,30.4375
1687731924.542329848s,53.25,31.125,30.75,30.25,35,30.4375
1687731924.55066277s,53.25,31.0625,30.75,30.3125,34.5,30.4375
1687731924.558973692s,53.25,31.0625,30.75,30.3125,34.5,30.4375
1687731924.567206614s,53.25,31.0625,30.75,30.3125,34.5,30.4375
1687731924.574397547s,53.25,31.0625,30.75,30.3125,34.5,30.4375
1687731924.58256947s,53.25,31.0625,30.75,30.3125,34.5,30.4375
1687731924.590974391s,53.25,31.0625,34.5,30.3125,34.5,30.5
1687731924.598129324s,53.25,31.0625,34.5,30.3125,34.5,30.5
1687731924.606418246s,53.25,31.0625,34.5,30.3125,34.5,30.5
1687731924.614622169s,53.25,31.0625,34.5,30.3125,34.5,30.5
1687731924.622826092s,53.25,31.125,34.5,30.3125,34.75,30.5
1687731924.631123014s,53.25,31.125,34.5,30.3125,34.75,30.5
1687731924.638590944s,53.25,31.125,34.5,30.3125,34.75,30.5
1687731924.646908866s,53.25,31.125,34.5,30.3125,34.75,30.5
1687731924.655080789s,53.25,31.125,34.5,30.3125,34.75,30.5
1687731924.662572718s,53.25,31.125,33.25,30.3125,34.75,30.5
1687731924.670845641s,53.25,31.125,33.25,30.3125,34.75,30.5
1687731924.679098563s,53.25,31.125,33.25,30.3125,34.75,30.5
1687731924.686318495s,53.25,31.125,33.25,30.3125,34.75,30.5
1687731924.694930414s,53.25,31.125,33.25,30.3125,34.75,30.5
1687731924.703155337s,53.25,31.125,33.25,30.3125,34.25,30.5
1687731924.710623267s,53.25,31.125,33.25,30.3125,34.25,30.5
1687731924.71887119s,53.25,31.125,33.25,30.3125,34.25,30.5
1687731924.726123121s,53.25,31.125,33.25,30.3125,34.25,30.5
1687731924.734880039s,53.25,31.125,31,30.3125,34.25,30.5
1687731924.743118962s,53.25,31.125,31,30.3125,34.25,30.4375
1687731924.750373894s,53.25,31.125,31,30.3125,34.25,30.4375
1687731924.758598816s,53.25,31.125,31,30.3125,34.25,30.4375
1687731924.766855739s,53.25,31.125,31,30.3125,34.25,30.4375
1687731924.775115661s,53.25,31.125,31,30.25,34,30.4375
1687731924.782372593s,53.25,31.125,31,30.25,34,30.4375
1687731924.791001512s,53.25,31.125,31,30.25,34,30.4375
1687731924.798274444s,53.25,31.125,31,30.25,34,30.4375
1687731924.806478366s,53.25,31.125,31,30.25,34,30.4375
1687731924.814699289s,53.25,31.125,32.75,30.25,34,30.5
1687731924.967372855s,53.25,31.125,32.5,30.25,35.25,30.5
1687731924.969683833s,53.25,31.125,32.5,30.25,35.25,30.5
1687731924.975517778s,53.25,31.125,32.5,30.25,35.25,30.5
1687731924.983088707s,53.25,31.125,32.5,30.25,35.25,30.5
1687731924.990376639s,53.25,31.125,32.5,30.25,35.25,30.5
1687731924.998564562s,53.25,31.125,32.5,30.3125,34.75,30.5
1687731925.006320489s,53.25,31.125,32.5,30.3125,34.75,30.5
1687731925.015140406s,53.25,31.125,32.5,30.3125,34.75,30.5
1687731925.022393338s,53.25,31.125,32.5,30.3125,34.75,30.5
1687731925.031390253s,53.25,31.125,31.75,30.3125,34.75,30.5
1687731925.038619186s,53.25,31.125,31.75,30.3125,34.75,30.4375
1687731925.189649767s,53.25,31.125,33,30.3125,35.25,30.4375
1687731925.192024744s,53.25,31.125,33,30.3125,35.25,30.4375
1687731925.198456684s,53.25,31.125,33,30.3125,35.25,30.4375
1687731925.206660607s,53.25,31.125,33,30.3125,35.25,30.4375
1687731925.21487053s,53.25,31.125,33,30.3125,35.25,30.4375
1687731925.223019453s,53.25,31.125,33,30.25,35,30.4375
1687731925.230918379s,53.25,31.125,33,30.25,35,30.4375
1687731925.23822131s,53.25,31.125,33,30.25,35,30.4375
1687731925.246474233s,53.25,31.125,33,30.25,35,30.4375
1687731925.254709155s,53.25,31.125,31,30.25,35,30.4375
1687731925.262924078s,53.25,31.125,31,30.25,35,30.4375
1687731925.271221s,53.25,31.125,31,30.25,35,30.4375
1687731925.278525932s,53.25,31.125,31,30.25,35,30.4375
1687731925.286871853s,53.25,31.0625,31,30.25,35,30.4375
1687731925.294423782s,53.25,31.0625,31,30.3125,34.5,30.4375
1687731925.302943702s,53.25,31.0625,31,30.3125,34.5,30.4375
1687731925.311167625s,53.25,31.0625,31,30.3125,34.5,30.4375
1687731925.318503556s,53.25,31.0625,31,30.3125,34.5,30.4375
1687731925.326780478s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731925.3350694s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731925.343356323s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731925.350525255s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731925.358723178s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731925.367152099s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731925.374336031s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731925.382885951s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731925.391216873s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731925.398543804s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731925.407319722s,53.25,31.125,33.25,30.3125,34.5,30.5
1687731925.486114981s,53.25,31.125,31.25,30.25,35,30.5
1687731925.488475959s,53.25,31.125,31.25,30.25,35,30.5
1687731925.495071897s,53.25,31.125,31.25,30.25,35,30.5
1687731925.50326582s,53.25,31.125,31.25,30.25,35,30.5
1687731925.510553752s,53.25,31.0625,31.25,30.25,35,30.5
1687731925.518718675s,53.25,31.0625,31.25,30.3125,34.5,30.5
1687731925.526932598s,53.25,31.0625,31.25,30.3125,34.5,30.5
1687731925.535119521s,53.25,31.0625,31.25,30.3125,34.5,30.5
1687731925.542285454s,53.25,31.0625,31.25,30.3125,34.5,30.5
1687731925.550617375s,53.25,31.0625,33.25,30.3125,34.5,30.5
1687731925.559170295s,53.25,31.0625,33.25,30.3125,34.5,30.5
1687731925.708543892s,53.25,31.125,32,30.25,35.25,30.4375
1687731925.71086287s,53.25,31.125,32,30.25,35.25,30.4375
1687731925.719158792s,53.25,31.125,32,30.25,35.25,30.4375
1687731925.726353724s,53.25,31.125,32,30.25,35.25,30.4375
1687731925.734545647s,53.25,31.125,32,30.25,35.25,30.4375
1687731925.74272657s,53.25,31.125,32,30.3125,34.5,30.4375
1687731925.7502205s,53.25,31.125,32,30.3125,34.5,30.4375
1687731925.75873542s,53.25,31.125,32,30.3125,34.5,30.4375
1687731925.766925343s,53.25,31.125,32,30.3125,34.5,30.4375
1687731925.775120266s,53.25,31.125,31.25,30.3125,34.5,30.4375
1687731925.782303199s,53.25,31.125,31.25,30.3125,34.5,30.5
1687731925.790598121s,53.25,31.125,31.25,30.3125,34.5,30.5
1687731925.798861043s,53.25,31.125,31.25,30.3125,34.5,30.5
1687731925.807097966s,53.25,31.125,31.25,30.3125,34.5,30.5
1687731925.814674894s,53.25,31.125,31.25,30.25,34.5,30.5
1687731925.822791818s,53.25,31.125,31.25,30.25,34.5,30.5
1687731925.83106374s,53.25,31.125,31.25,30.25,34.5,30.5
1687731925.838262673s,53.25,31.125,31.25,30.25,34.5,30.5
1687731925.846451596s,53.25,31.125,35.25,30.25,34.5,30.5
1687731925.854644519s,53.25,31.125,35.25,30.25,34.5,30.5
1687731925.862982441s,53.25,31.125,35.25,30.25,34.5,30.5
1687731925.870557369s,53.25,31.125,35.25,30.25,34.5,30.5
1687731925.87900929s,53.25,31.125,35.25,30.25,34.5,30.5
1687731925.887214213s,53.25,31.125,35.25,30.3125,33.25,30.5
1687731925.894679143s,53.25,31.125,35.25,30.3125,33.25,30.5
1687731925.902904066s,53.25,31.125,35.25,30.3125,33.25,30.5
1687731925.923833869s,53.25,31.125,33,30.3125,33.25,30.5
1687731925.926660842s,53.25,31.125,33,30.3125,33.25,30.4375
1687731925.934881765s,53.25,31.125,33,30.3125,33.25,30.4375
1687731925.942277696s,53.25,31.125,33,30.3125,33.25,30.4375
1687731925.950717616s,53.25,31.125,33,30.3125,33.25,30.4375
1687731925.959117537s,53.25,31.125,33,30.3125,33.25,30.4375
1687731925.966449469s,53.25,31.125,33,30.3125,34.5,30.4375
1687731925.97477739s,53.25,31.125,33,30.3125,34.5,30.4375
1687731925.983243311s,53.25,31.125,33,30.3125,34.5,30.4375
