time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687120916.571241579s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.602870309s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.634957078s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.670338132s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.698532566s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.731162382s,85,27.375,84.75,26.75,84.75,26.9375
1687120916.762325072s,85,27.375,84.75,26.6875,84.75,26.9375
1687120916.794898883s,85,27.375,84.75,26.6875,84.75,26.9375
1687120916.827237675s,85,27.375,85,26.6875,84.75,27
1687120916.858842403s,85,27.375,85,26.75,84.75,27
1687120916.89101518s,85.25,27.375,85,26.75,84.75,27
1687120916.922612907s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.954884692s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120916.986694438s,85.25,27.375,84.75,26.75,84.75,27
1687120917.018578118s,85.25,27.375,84.75,26.75,84.75,27
1687120917.051153754s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.082325276s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.114365869s,85.25,27.375,85,26.75,84.75,26.9375
1687120917.146581476s,85.25,27.375,85,26.75,84.75,26.9375
1687120917.17913011s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.210306633s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.242930273s,85,27.375,84.75,26.75,84.75,26.9375
1687120917.275191883s,85,27.375,84.75,26.75,84.75,26.9375
1687120917.306930452s,85,27.375,84.75,26.75,84.75,26.9375
1687120917.339135058s,85.25,27.375,85,26.75,84.75,26.9375
1687120917.37129966s,85.25,27.375,85,26.75,84.75,26.9375
1687120917.402764206s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.434513776s,85.25,27.375,84.75,26.75,84.75,27
1687120917.466758385s,85.25,27.375,84.75,26.75,84.75,27
1687120917.498348941s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.530545546s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.563204189s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.594462719s,85.25,27.4375,84.75,26.6875,84.75,26.9375
1687120917.626602319s,85.25,27.4375,84.75,26.6875,84.75,26.9375
1687120917.658773923s,85.25,27.375,84.75,26.6875,84.75,26.9375
1687120917.69247365s,85.25,27.375,84.75,26.6875,84.75,26.9375
1687120917.722720097s,85.25,27.375,84.75,26.6875,84.75,26.9375
1687120917.754321654s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.786534261s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.818993888s,85.25,27.375,84.75,26.75,84.75,27
1687120917.851187493s,85.25,27.375,84.75,26.75,84.75,27
1687120917.883125077s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.914265597s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.946419199s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120917.978982834s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.010447356s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.042988825s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.074846242s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.106484642s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.138340058s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.170895528s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.202707942s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.234271336s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.266175756s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.298701224s,85.25,27.375,84.75,26.75,84.75,26.9375
1687120918.344730716s,85.25,27.375,84.75,26.6875,84.75,26.9375
1687120918.363209118s,85,27.375,84.75,26.6875,84.5,26.9375
1687120918.395349556s,85,27.375,84.75,26.75,84.5,26.9375
1687120918.426524921s,85,27.375,84.75,26.75,84.5,26.9375
1687120918.459191399s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.490399767s,85.25,27.375,84.75,26.6875,84.5,26.9375
1687120918.523689292s,85.25,27.375,84.75,26.6875,84.5,26.9375
1687120918.555059672s,85.25,27.375,84.75,26.6875,84.5,26.9375
1687120918.586744076s,85.25,27.375,84.75,26.6875,84.5,26.9375
1687120918.619019524s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.650460909s,85.25,27.375,85,26.75,84.5,26.9375
1687120918.682655352s,85.25,27.375,85,26.75,84.5,26.9375
1687120918.714954802s,85.25,27.375,85,26.75,84.5,26.9375
1687120918.746924227s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.778904654s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.810823075s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.842444474s,85.25,27.375,84.75,26.75,84.5,26.9375
1687120918.874649917s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120918.906300318s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120918.938543764s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120918.970549192s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120919.003539695s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120919.035203955s,85.25,27.375,84.75,26.75,84.25,26.9375
1687120919.066437176s,85.25,27.375,84.75,26.6875,84.25,26.9375
1687120919.098979491s,85.25,27.375,84.75,26.6875,84.25,26.9375
1687120919.131136778s,85.25,27.375,84.75,26.6875,84.25,27
1687120919.162689022s,85.25,27.3125,84.75,26.75,84.25,27
1687120919.194951317s,85.25,27.3125,84.75,26.75,84,27
1687120919.226587567s,85.25,27.375,84.75,26.6875,84,26.9375
1687120919.258817859s,85,27.375,84.75,26.6875,84,26.9375
1687120919.290454109s,85,27.375,84.75,26.75,84,26.9375
1687120919.322623397s,85.25,27.375,84.75,26.75,84,26.9375
1687120919.354309651s,85.25,27.375,84.75,26.75,84,26.9375
1687120919.386573945s,85.25,27.375,84.75,26.75,84,26.9375
1687120919.419291272s,85.25,27.375,84.75,26.75,84,26.9375
1687120919.450486491s,85.25,27.375,84.75,26.6875,84,26.9375
1687120919.483040806s,85.25,27.375,84.75,26.6875,84,26.9375
1687120919.515335103s,85.25,27.3125,84.75,26.75,84,26.9375
1687120919.546864345s,85,27.3125,84.75,26.75,84,26.9375
1687120919.579016632s,85,27.3125,84.75,26.75,84,26.9375
1687120919.610582877s,85,27.375,84.75,26.75,84,26.9375
1687120919.642744165s,85,27.375,84.75,26.75,84,26.9375
1687120919.674397416s,85,27.375,84.75,26.75,84,26.9375
1687120919.70665571s,85,27.375,84.5,26.75,84,26.9375
1687120919.739218026s,85,27.375,84.5,26.6875,84,26.9375
1687120919.770592257s,85,27.375,84.5,26.6875,84,26.9375
1687120919.803166574s,85,27.375,84.5,26.75,84,26.9375
1687120919.834375794s,85,27.375,84.5,26.75,84,26.9375
1687120919.867028116s,85,27.375,84.5,26.75,83.75,26.9375
1687120919.899149401s,85,27.375,84.5,26.6875,83.75,26.9375
1687120919.930664642s,85.25,27.375,84.5,26.6875,83.5,26.9375
1687120919.962859932s,85.25,27.375,84.5,26.75,83.5,26.9375
1687120919.994514183s,85,27.375,84.5,26.75,83.5,26.9375
1687120920.026730379s,85,27.375,84.5,26.6875,83.5,26.9375
1687120920.058356487s,85,27.375,84.5,26.6875,83.5,26.9375
1687120920.090593637s,85,27.375,84.5,26.6875,83.5,26.9375
1687120920.123303818s,85,27.375,84.5,26.6875,83.5,26.9375
1687120920.154716913s,85.25,27.375,84.5,26.6875,83.5,26.9375
1687120920.186489031s,85.25,27.375,84.5,26.6875,83.5,26.9375
1687120920.218655176s,85,27.375,84.5,26.6875,83.5,26.9375
1687120920.251196345s,85,27.375,84.5,26.75,83.5,26.9375
1687120920.282344422s,85,27.375,84.5,26.75,83.5,26.9375
1687120920.314884592s,85,27.375,84.5,26.75,83.5,26.9375
1687120920.347111741s,85,27.375,84.5,26.75,83.5,26.9375
1687120920.378681846s,85,27.375,84.75,26.75,83.75,26.9375
1687120920.410850991s,85,27.375,84.75,26.75,83.75,26.9375
1687120920.442422096s,85,27.375,84.5,26.75,83.75,26.9375
1687120920.47457524s,85,27.375,84.5,26.6875,83.75,27
1687120920.507196415s,85,27.375,84.5,26.6875,83.75,27
1687120920.538366493s,85,27.375,84.5,26.6875,83.75,27
1687120920.570914663s,85,27.375,84.5,26.75,83.75,26.9375
1687120920.603082808s,85,27.375,84.5,26.75,84,26.9375
1687120920.634739919s,85,27.375,84.5,26.75,84,26.9375
1687120920.666971068s,85,27.375,84.5,26.75,84,26.9375
1687120920.698506171s,85,27.375,84.5,26.6875,84,26.9375
1687120920.730673316s,85,27.375,84.5,26.6875,84,26.9375
1687120920.762295424s,85,27.375,84.5,26.6875,84,26.9375
1687120920.794507572s,85,27.375,84.5,26.6875,84,26.9375
1687120920.827166749s,85,27.375,84.5,26.6875,84,26.9375
1687120920.858324827s,85,27.375,84.5,26.75,84,26.9375
1687120920.890908s,85.25,27.375,84.5,26.75,84.25,26.9375
1687120920.923089145s,85.25,27.375,84.5,26.75,84.25,26.9375
1687120920.954750256s,85,27.375,84.5,26.75,84.25,26.9375
